spotify_track_id,title,artist,album,release_date,popularity,duration_ms,tempo,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,sentiment_score,genres
4fmHQdt9I9mi4hAVmt0Iyz,I Only Wanna Be With You,Volbeat,The Strength/The Sound/The Songs,2005-09-30,0,164093,138,99,43,60,0,1,4,9,-5 dB,0.1783335230180195,
2PkeVPcL32LA96cK5ySC3c,Yeah!,USHER,Yeah!,2004-02-09,1,250066,105,79,90,59,2,0,4,11,-5 dB,-0.0823240313265058,
74EV0g12ihUoOUXMprFpZB,Losing My Religion,R.E.M.,Out Of Time (U.S. Version),1991-01-01,2,267733,126,86,67,80,18,0,10,3,-5 dB,0.0055459042390187,
4JErskWxmILvav6U2PkTbn,What I've Done,Linkin Park,What I've Done,2007-04-06,37,205613,87,48,33,34,62,0,11,4,-9 dB,0.1571905632552347,
7BHPGtpuuWWsvE7cCaMuEU,Naive,The Kooks,Inside In / Inside Out,2006-01-01,78,203506,103,82,55,72,7,0,13,6,-6 dB,-0.0148494288606463,
2RknY4IqSPwagR0v5wchIW,Don't Stop Me Now,Queen,Jazz,1978-11-10,0,209447,156,86,47,60,2,2,66,26,-6 dB,-0.063157067199548,
5ZPp1V3PufN6qhAe3rLNmb,Kryptonite,3 Doors Down,The Better Life,2000,1,233826,99,87,55,54,1,0,17,3,-6 dB,0.0530503739913304,
2C4aYxNpoPkmoZ3ZdPeuOB,Knockin' On Heaven's Door,Guns N' Roses,Use Your Illusion II (Explicit Version),1991-09-18,1,336000,132,74,50,38,2,0,11,4,-7 dB,-0.0080328630283474,
3wNXqTMimmuTEj1iEPftC7,Another Day In Paradise,Phil Collins,...But Seriously,1989-11-10,1,322173,102,68,71,68,79,93,22,3,-7 dB,0.105943951010704,
1WYEDcS7WGjv0rG7rmMX3o,Bitter Sweet Symphony,The Verve,This Is Music: The Singles 92-98,2004-01-01,65,359546,171,92,36,52,3,0,41,5,-6 dB,0.146885475734385,
